Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:50:00Z,1420b0314d19,2,97.0,43.1,190.0
2026-09-13T17:50:00Z,1420b0314d19,3,0.0,3.3,0.0
2026-09-13T17:50:00Z,1420b0314d19,4,0.0,3.4,0.0
2026-09-13T17:50:00Z,1420b0314d25,1,89.0,42.7,179.0
2026-09-13T17:50:00Z,1420b0314d25,2,87.0,42.7,177.0
2026-09-13T17:50:00Z,1420b0314d25,3,90.0,42.7,181.0
2026-09-13T17:50:00Z,1420b0314d25,4,88.0,42.4,178.0
2026-09-13T17:50:00Z,1420b0314df9,1,96.0,42.8,190.0
2026-09-13T17:50:00Z,1420b0314df9,2,93.0,42.8,184.0
2026-09-13T17:50:00Z,1420b0314df9,3,94.0,42.7,185.0
2026-09-13T17:50:00Z,1420b0314df9,4,93.0,42.8,182.0
2026-09-13T17:50:00Z,1420b0314f85,1,98.0,42.7,194.0
2026-09-13T17:50:00Z,1420b0314f85,2,97.0,42.7,192.0
2026-09-13T17:50:00Z,1420b0314f85,3,98.0,42.7,193.0
2026-09-13T17:50:00Z,1420b0314f85,4,98.0,42.8,193.0
2026-09-13T17:50:00Z,1420b03150a1,1,14.0,16.0,114.0
2026-09-13T17:50:00Z,1420b03150a1,2,120.0,49.0,139.0
2026-09-13T17:50:00Z,1420b03150a1,3,101.0,42.9,199.0
2026-09-13T17:50:00Z,1420b03150a1,4,102.0,42.8,200.0
2026-09-13T17:50:00Z,1420b0315189,1,101.0,42.8,201.0
2026-09-13T17:50:00Z,1420b0315189,2,100.0,42.8,199.0
2026-09-13T17:50:00Z,1420b0315189,3,101.0,42.6,200.0
2026-09-13T17:50:00Z,1420b0315189,4,102.0,42.8,201.0
2026-09-13T17:50:00Z,1420b03153ec,1,100.0,42.9,199.0
2026-09-13T17:50:00Z,1420b03153ec,2,100.0,42.9,200.0
2026-09-13T17:50:00Z,1420b03153ec,3,101.0,43.0,201.0
2026-09-13T17:50:00Z,1420b03153ec,4,100.0,42.7,201.0
2026-09-13T18:00:00Z,1420b03145c2,1,89.0,42.8,181.0
2026-09-13T18:00:00Z,1420b03145c2,3,88.0,42.9,179.0
2026-09-13T18:00:00Z,1420b03145c2,4,86.0,42.8,174.0
2026-09-13T18:00:00Z,1420b0314618,1,102.0,42.6,202.0
2026-09-13T18:00:00Z,1420b0314618,2,100.0,42.5,199.0
2026-09-13T18:00:00Z,1420b0314618,3,101.0,42.8,202.0
2026-09-13T18:00:00Z,1420b0314618,4,101.0,42.7,201.0
2026-09-13T18:00:00Z,1420b03146bb,1,95.0,42.5,189.0
2026-09-13T18:00:00Z,1420b03146bb,2,92.0,42.6,185.0
2026-09-13T18:00:00Z,1420b03146bb,3,0.0,6.6,0.0
2026-09-13T18:00:00Z,1420b03146bb,4,95.0,42.6,189.0
2026-09-13T18:00:00Z,1420b03146fc,1,87.0,42.6,180.0
2026-09-13T18:00:00Z,1420b03146fc,2,85.0,42.6,175.0
2026-09-13T18:00:00Z,1420b03146fc,3,81.0,43.1,166.0
2026-09-13T18:00:00Z,1420b03146fc,4,79.0,42.5,162.0
2026-09-13T18:00:00Z,1420b0314cf5,1,88.0,42.6,182.0
2026-09-13T18:00:00Z,1420b0314cf5,2,87.0,42.6,179.0
2026-09-13T18:00:00Z,1420b0314cf5,3,89.0,42.6,183.0
2026-09-13T18:00:00Z,1420b0314cf5,4,87.0,42.6,181.0
2026-09-13T18:00:00Z,1420b0314d19,1,96.0,43.1,194.0
2026-09-13T18:00:00Z,1420b0314d19,2,95.0,43.0,191.0
2026-09-13T18:00:00Z,1420b0314d19,3,0.0,3.2,0.0
2026-09-13T18:00:00Z,1420b0314d19,4,0.0,3.4,0.0
2026-09-13T18:00:00Z,1420b0314d25,1,87.0,42.6,180.0
2026-09-13T18:00:00Z,1420b0314d25,2,86.0,42.7,178.0
2026-09-13T18:00:00Z,1420b0314d25,3,88.0,42.6,182.0
2026-09-13T18:00:00Z,1420b0314d25,4,87.0,42.5,179.0
2026-09-13T18:00:00Z,1420b0314df9,1,94.0,42.7,192.0
2026-09-13T18:00:00Z,1420b0314df9,2,91.0,42.7,185.0
